Index,date,Birk Value,Birk Extracted Value,Croc Value,Croc Extracted Value,Month,Date,Year,Corrected_Date
0,"Apr 10-16, 2022",69,69,66,66,Apr,10,2022,Apr/10/2022
1,"Apr 17-23, 2022",69,69,56,56,Apr,17,2022,Apr/17/2022
2,"Apr 24-30, 2022",73,73,68,68,Apr,24,2022,Apr/24/2022
3,"May 1-7, 2022",77,77,96,96,May,1,2022,May/1/2022
4,"May 8-14, 2022",84,84,74,74,May,8,2022,May/8/2022
5,"May 15-21, 2022",89,89,75,75,May,15,2022,May/15/2022
6,"May 22-28, 2022",88,88,78,78,May,22,2022,May/22/2022
7,"May 29-Jun 4, 2022",100,100,84,84,May,29,2022,May/29/2022
8,"Jun 5-11, 2022",97,97,80,80,Jun,5,2022,Jun/5/2022
9,"Jun 12-18, 2022",90,90,86,86,Jun,12,2022,Jun/12/2022
10,"Jun 19-25, 2022",94,94,89,89,Jun,19,2022,Jun/19/2022
11,"Jun 26-Jul 2, 2022",96,96,87,87,Jun,26,2022,Jun/26/2022
12,"Jul 3-9, 2022",91,91,81,81,Jul,3,2022,Jul/3/2022
13,"Jul 10-16, 2022",94,94,79,79,Jul,10,2022,Jul/10/2022
14,"Jul 17-23, 2022",91,91,79,79,Jul,17,2022,Jul/17/2022
15,"Jul 24-30, 2022",83,83,74,74,Jul,24,2022,Jul/24/2022
16,"Jul 31-Aug 6, 2022",82,82,70,70,Jul,31,2022,Jul/31/2022
17,"Aug 7-13, 2022",86,86,72,72,Aug,7,2022,Aug/7/2022
18,"Aug 14-20, 2022",79,79,68,68,Aug,14,2022,Aug/14/2022
19,"Aug 21-27, 2022",90,90,67,67,Aug,21,2022,Aug/21/2022
20,"Aug 28-Sep 3, 2022",81,81,61,61,Aug,28,2022,Aug/28/2022
21,"Sep 4-10, 2022",82,82,82,82,Sep,4,2022,Sep/4/2022
22,"Sep 11-17, 2022",67,67,69,69,Sep,11,2022,Sep/11/2022
23,"Sep 18-24, 2022",60,60,68,68,Sep,18,2022,Sep/18/2022
24,"Sep 25-Oct 1, 2022",58,58,66,66,Sep,25,2022,Sep/25/2022
25,"Oct 2-8, 2022",58,58,86,86,Oct,2,2022,Oct/2/2022
26,"Oct 9-15, 2022",56,56,63,63,Oct,9,2022,Oct/9/2022
27,"Oct 16-22, 2022",55,55,57,57,Oct,16,2022,Oct/16/2022
28,"Oct 23-29, 2022",48,48,52,52,Oct,23,2022,Oct/23/2022
29,"Oct 30-Nov 5, 2022",45,45,59,59,Oct,30,2022,Oct/30/2022
30,"Nov 6-12, 2022",45,45,69,69,Nov,6,2022,Nov/6/2022
31,"Nov 13-19, 2022",50,50,65,65,Nov,13,2022,Nov/13/2022
32,"Nov 20-26, 2022",68,68,100,100,Nov,20,2022,Nov/20/2022
33,"Nov 27-Dec 3, 2022",58,58,86,86,Nov,27,2022,Nov/27/2022
34,"Dec 4-10, 2022",57,57,82,82,Dec,4,2022,Dec/4/2022
35,"Dec 11-17, 2022",59,59,85,85,Dec,11,2022,Dec/11/2022
36,"Dec 18-24, 2022",55,55,81,81,Dec,18,2022,Dec/18/2022
37,"Dec 25-31, 2022",57,57,78,78,Dec,25,2022,Dec/25/2022
38,"Jan 1-7, 2023",41,41,53,53,Jan,1,2023,Jan/1/2023
39,"Jan 8-14, 2023",38,38,48,48,Jan,8,2023,Jan/8/2023
40,"Jan 15-21, 2023",33,33,47,47,Jan,15,2023,Jan/15/2023
41,"Jan 22-28, 2023",34,34,43,43,Jan,22,2023,Jan/22/2023
42,"Jan 29-Feb 4, 2023",32,32,43,43,Jan,29,2023,Jan/29/2023
43,"Feb 5-11, 2023",38,38,45,45,Feb,5,2023,Feb/5/2023
44,"Feb 12-18, 2023",39,39,47,47,Feb,12,2023,Feb/12/2023
45,"Feb 19-25, 2023",48,48,51,51,Feb,19,2023,Feb/19/2023
46,"Feb 26-Mar 4, 2023",45,45,68,68,Feb,26,2023,Feb/26/2023
47,"Mar 5-11, 2023",52,52,64,64,Mar,5,2023,Mar/5/2023
48,"Mar 12-18, 2023",49,49,54,54,Mar,12,2023,Mar/12/2023
49,"Mar 19-25, 2023",55,55,56,56,Mar,19,2023,Mar/19/2023
50,"Mar 26-Apr 1, 2023",59,59,58,58,Mar,26,2023,Mar/26/2023
51,"Apr 2-8, 2023",81,81,64,64,Apr,2,2023,Apr/2/2023
