,Product name,Selling Source,Price ($),Extracted Price,Rating,Reviews
0,Birkenstock Arizona Sandals Mocca,BIRKENSTOCK,59.95,59.95,4.7,151
1,Birkenstock Black Arizona Sandals,ssense.com,190.0,190.0,4.5,6992
2,Birkenstock Brown Arizona Sandals,Amazon.com - Seller,99.0,99.0,4.7,582
3,BIRKENSTOCK Sydney Birko-Flor Graceful Old Rose Two-Strap Sandals,BIRKENSTOCK,59.97,59.97,0.0,0
4,Birkenstock Mocca Arizona Sandals,eBay - the-walking-style,86.99,86.99,4.9,346
5,Birkenstock Arizona Sandals - Brown,Tower London,81.0,81.0,4.7,13725
6,"Birkenstock Men's Arizona Eva Sandals, Multi/Black",DICK'S Sporting Goods,30.97,30.97,4.5,125
7,Birkenstock Kids' Arizona Mocha,Nordstrom,59.95,59.95,4.6,196
8,"Birkenstock Women's Arizona Slide Sandal, Mocha, 36",DSW,109.99,109.99,4.6,1464
9,Birkenstock Milano HL Mocha Birkibuc,Zappos.com,69.95,69.95,4.6,14
10,BIRKENSTOCK Kids Arizona Birko-Flor Nubuck Mocha Two-Strap Sandals,BIRKENSTOCK,59.95,59.95,0.0,0
11,Birkenstock Arizona Toe Loop Sandal in Electric Metallic Gold,Backcountry.com,59.95,59.95,4.5,6087
12,Birkenstock 'Arizona' Sandals Brown,Deporvillage.net,119.99,119.99,4.7,37
13,Birkenstock - Boston Soft Footbed Oiled Leather Tobacco / 42,REI,158.0,158.0,4.7,640
14,"Birkenstock Arizona Eva Multi Gold Women's, 39 / N",Scheels,54.95,54.95,4.5,1163
15,Birkenstock Boston SFB Taupe Suede,Grandpastore.com,165.0,165.0,4.4,24
16,Birkenstock Kids Arizona Eva - Black 29,Famous Footwear,34.99,34.99,4.3,29
17,BIRKENSTOCK Boston Birko-Flor Nubuck Black Clogs,BIRKENSTOCK,120.0,120.0,0.0,0
18,"Birkenstock Women's Arizona Sandals, Size: 6/6.5 US (37 Euro), Black",QVC,110.0,110.0,4.6,14162
19,Birkenstock Arizona Sandals - Brown - Flat Sandals,London Store,99.0,99.0,4.6,588
20,Birkenstock Boston Soft Footbed Suede Taupe / 43,StockX,148.0,148.0,4.6,1107
21,Birkenstock Eva Arizona - Rose 37,Finish Line,50.0,50.0,4.5,3338
22,Birkenstock Arizona Birko-Flor Sandal,Amazon.com - Seller,80.41,80.41,4.8,152
23,Birkenstock Women's Arizona Sandals - Copper - 1 Each,Macy's,110.0,110.0,4.6,13
24,Birkenstock Mayari Sandal | Women's | Stone | Size EU 36 / US Womens 5-5.5 / Mens ...,evo.com,50.99,50.99,4.7,5342
25,Birkenstock Arizona Birko-Flor Nubuck Khaki Two-Strap Sandals,Westerlind,50.0,50.0,5.0,3
26,Birkenstock Boston Soft Footbed Suede Taupe,Dillard's,158.0,158.0,4.6,478
27,"Birkenstock Arizona Metallic Slide Sandal in Electric Metallic at Nordstrom, Size ...",Nordstrom,59.95,59.95,4.6,11
28,Birkenstock Arizona Birko-Flor Green Two-Strap Sandals,BIRKENSTOCK,66.0,66.0,0.0,0
29,Birkenstock Womens Arizona Soft Footbed Sandal Women's Taupe 36 (US 5),American Eagle Outfitters,140.0,140.0,4.5,19
30,Birkenstock Arizona Canvas Slide Sandal in Stone Coin,Stoneberry,69.99,69.99,3.9,9
31,Birkenstock Arizona Birko Flor Black,SVD-sivasdescalzo,65.0,65.0,4.7,13725
32,"Birkenstock Men's Arizona Sandals, Blue",Sole Provisions,79.95,79.95,4.6,10
33,Birkenstock 'Arizona' Sandals Beige,Shoes Megastore US,119.0,119.0,4.7,13725
34,Birkenstock - Boston Soft Footbed Oiled Leather Tobacco / 46,Rogans Shoes,158.0,158.0,4.7,640
35,Birkenstock Brown Mocca Arizona Sandals,Childrensalon,47.0,47.0,4.7,151
36,Birkenstock Kids Arizona Birko-Flor White Two-Strap Sandals,SneakerStudio.com,50.0,50.0,5.0,1
37,"Birkenstock Women's Arizona Sandals, Black, 8",Walmart - Britsh Brands,106.89,106.89,4.6,14162
38,Birkenstock Arizona Eva Black Eva Slides,Shooos.com,49.2,49.2,4.5,6050
39,Birkenstock - Men - Arizona Birko-Flor Sandals Blue,MR PORTER,120.0,120.0,4.3,6
40,Birkenstock Arizona Birko-Flor White 41,Runners Plus,110.0,110.0,4.8,574
41,Birkenstock Boston Soft Footbed Suede Taupe / 45,Shopbop Men,158.0,158.0,4.5,1138
42,Birkenstock Arizona Birko-Flor Black / White Two-Strap Sandals,Daniel Footwear,93.16,93.16,3.0,1
43,"Birkenstock Arizona Colorblock Sandal in Mineral/Light Rose, Size 5-5.5Us",Footprint USA,84.97,84.97,4.8,7
44,Birkenstock Arizona 1021201 Pink,HSN,52.99,52.99,4.8,8
45,Birkenstock Arizona Birko-Flor Desert Soil Camouflage Green Two-Strap Sandals,manorphx.com,100.0,100.0,5.0,5
46,Birkenstock 'Arizona' Sandals,Sugar,99.0,99.0,4.7,71
47,Birkenstock Women's Mayari (39 Graceful Taupe Birko Flor),Eagle Eye Outfitters,99.95,99.95,4.7,1116
48,Birkenstock Arizona Slide Sandal | Women's | Mocha | Size EU 37 / US Womens 6-6.5 ...,DSW,109.99,109.99,4.5,792
49,Birkenstock Women's Zermatt Shearling Eggnog - Ecru - Each,Glik's,99.95,99.95,4.6,264
50,Birkenstock Arizona Sandals - Black,Blue Tomato,63.63,63.63,4.8,1499
51,"Birkenstock Women's Arizona Sandals, Black, 41",Academy Sports + Outdoors,109.99,109.99,4.8,1251
52,Birkenstock Arizona Birko-Flor Black Two-Strap Sandals for Professionals,SLS-Bartel-Shop,105.95,105.95,4.9,11
53,"Birkenstock Men's Arizona Eva Slip-Ons, Mens, 12M, Green",Shoolu,135.0,135.0,4.6,561
54,Women's Birkenstock Sydney Birko-Flor Color: Graceful Old Rose 38 / N,Dardano's Shoes,74.96,74.96,4.7,38
55,Birkenstock Sydney Birko-Flor Graceful Old Rose Two-Strap Sandals,BIRKENSTOCK,59.97,59.97,5.0,2
56,Birkenstock Arizona Eva Black,Allike Store Hamburg,49.37,49.37,4.5,6459
57,Birkenstock Arizona Thyme Suede Leather,Todd Snyder,130.0,130.0,5.0,1
58,"Birkenstock Women's Mayari Vegan Sandals, Faded Khaki",evo.com,56.99,56.99,5.0,8
59,"Birkenstock Women's Arizona Split Sandals, Candy Pink",Extra Butter,120.0,120.0,4.7,25
