Rank,City,State,Population
1,New York, New York,8804190
2,Los Angeles, California,3893986
3,Chicago, Illinois,2747231
4,Houston, Texas,2302792
5,Phoenix, Arizona,1607739
6,Philadelphia, Pennsylvania,1603797
7,San Antonio, Texas,1434270
8,San Diego, California,1385922
9,Dallas, Texas,1304442
10,San Jose, California,1014545
11,Austin, Texas,959549
12,Jacksonville, Florida,949577
13,Fort Worth, Texas,918377
14,Columbus, Ohio,905672
15,Indianapolis, Indiana,887752
16,Charlotte, North Carolina,874541
17,San Francisco, California,873965
18,Seattle, Washington,735157
19,Denver, Colorado,715522
20,Oklahoma, Oklahoma,681387
21,Nashville, Tennessee,689504
22,El Paso, Texas,678587
23,Washington, District of Columbia,689545
24,Boston, Massachusetts,676216
25,Las Vegas, Nevada,641825
26,Portland, Oregon,652089
27,Detroit, Michigan,639614
28,Louisville, Kentucky,632689
29,Memphis, Tennessee,632207
30,Baltimore, Maryland,585708
31,Milwaukee, Wisconsin,577235
32,Albuquerque, New Mexico,564563
33,Fresno, California,542161
34,Tucson, Arizona,541349
35,Sacramento, California,522754
36,Mesa, Arizona,504500
37,Kansas, Missouri,507969
38,Atlanta, Georgia,498602
39,Omaha, Nebraska,490627
40,Colorado Springs, Colorado,479260
41,Raleigh, North Carolina,467592
42,Virginia Beach, Virginia,459470
43,Long Beach, California,466302
44,Miami, Florida,442265
45,Oakland, California,439349
46,Minneapolis, Minnesota,428403
47,Tulsa, Oklahoma,412458
48,Bakersfield, California,402907
49,Wichita, Kansas,397070
50,Arlington, Texas,394218
51,Aurora, Colorado,386241
52,Tampa, Florida,382769
53,New Orleans, Louisiana,383997
54,Cleveland, Ohio,373091
55,Anaheim, California,347015
56,Urban Honolulu CDP, Hawaii,350943
57,Henderson, Nevada,317521
58,Stockton, California,320759
59,Lexington-Fayette urban county, Kentucky,322570
60,Corpus Christi, Texas,317929
61,Riverside, California,314347
62,Santa Ana, California,310538
63,Orlando, Florida,307674
64,Irvine, California,305313
65,Cincinnati, Ohio,310242
66,Newark, New Jersey,310876
67,St. Paul, Minnesota,311448
68,Pittsburgh, Pennsylvania,303160
69,Greensboro, North Carolina,297899
70,St. Louis, Missouri,301578
71,Lincoln, Nebraska,291114
72,Plano, Texas,285900
73,Anchorage, Alaska,291247
74,Durham, North Carolina,283547
75,Jersey, New Jersey,292412
76,Chandler, Arizona,276330
77,Chula Vista, California,276025
78,Buffalo, New York,278302
79,North Las Vegas, Nevada,262678
80,Gilbert town, Arizona,268302
81,Madison, Wisconsin,268414
82,Reno, Nevada,263436
83,Toledo, Ohio,270726
84,Fort Wayne, Indiana,263852
85,Lubbock, Texas,257180
86,St. Petersburg, Florida,258277
87,Laredo, Texas,255181
88,Irving, Texas,256793
89,Chesapeake, Virginia,249422
90,Winston-Salem, North Carolina,249443
91,Glendale, Arizona,248345
92,Scottsdale, Arizona,241488
93,Garland, Texas,246132
94,Boise, Idaho,235670
95,Norfolk, Virginia,238005
96,Spokane, Washington,228831
97,Fremont, California,232084
98,Richmond, Virginia,226610
99,Santa Clarita, California,229213
100,San Bernardino, California,221898
