,Product name_x,Selling Source,Price ($)_x,Extracted Price_x,Rating_x,Reviews_x,Product name_y,Price ($)_y,Extracted Price_y,Rating_y,Reviews_y
0,Women's Birkenstock Arizona Essentials Slide Sandal - Black - Size 10,DSW,49.99,49.99,4.6,14162,Crocs Bistro (Black),49.99,49.99,4.4,1865
1,Birkenstock Arizona 1021201 Pink,6pm.com,24.75,24.75,4.8,8,Crocs Men's Clog Black & White Disco Classic Clog - Adult M4W6,32.97,32.97,4.2,22
2,Birkenstock Mocca Arizona Sandals,Amazon.com - Seller,101.05,101.05,4.9,346,Crocs Classic Clog Bone,34.95,34.95,4.6,13555
3,Birkenstock Mocca Arizona Sandals,Amazon.com - Seller,101.05,101.05,4.9,346,Crocs Unisex-Adult Classic Clog,25.0,25.0,0.0,0
4,"Birkenstock Women's, Mayari Thong Sandals",Amazon.com - Seller,65.0,65.0,0.0,0,Crocs Classic Clog Bone,34.95,34.95,4.6,13555
5,"Birkenstock Women's, Mayari Thong Sandals",Amazon.com - Seller,65.0,65.0,0.0,0,Crocs Unisex-Adult Classic Clog,25.0,25.0,0.0,0
6,"Birkenstock Women's Arizona Birko-Flor Sandal, Black, 37",Zappos.com,110.0,110.0,4.8,1251,"Crocs Classic Clog Lavender, 2",37.49,37.49,4.8,126
7,"Birkenstock Women's Arizona Birko-Flor Sandal, Black, 37",Zappos.com,110.0,110.0,4.8,1251,Crocs Classic All-Terrain Clog in Multi - Size: Mens 13.0 in Womens 15,44.99,44.99,4.7,73
8,"Birkenstock Women's Arizona Slide Sandal, Mocha, 36",DICK'S Sporting Goods,109.99,109.99,4.6,1464,Crocs Classic Clog 204536 Pink,26.24,26.24,4.8,1723
9,Birkenstock Milano Birko Flor Nubuck Sandals - Mocca,London Store,82.0,82.0,4.7,31,Crocs Classic Mega Crush Clog - White - US 8 - Women,77.0,77.0,4.3,426
10,"Birkenstock Arizona Eva Multi Gold Women's, 36 / N",Scheels,54.95,54.95,4.5,1163,"Crocs Unisex Classic Clogs, Size: Men's 5/Women's 7, Yellow",32.99,32.99,4.6,13555
11,"Birkenstock Women's Arizona Split Sandals, Black/White",Finish Line,115.0,115.0,4.7,43,Crocs x Jurassic World All-Terrain Classic Clog Shoes Size 5.0,65.0,65.0,4.1,15
12,Birkenstock Boston Soft Footbed Suede Taupe / 46,StockX,152.0,152.0,4.5,1138,Crocs Classic Clog KFC,307.0,307.0,4.2,5
13,Birkenstock Boston Soft Footbed Suede Taupe / 46,StockX,152.0,152.0,4.5,1138,Crocs Mens Steven Harrington Classic Clogs - Shoes White/Black Size 11.0,64.0,64.0,4.8,34
14,Birkenstock - MADRID_BIRKO-FLOR - Brown / 35,fruugo.com,89.0,89.0,4.8,164,"Crocs Grey Baya Clog, Size: Mens 13",59.0,59.0,4.6,1020
15,Birkenstock Women's Arizona Pink Wool Shearling,Champs Sports,64.99,64.99,4.3,91,Crocs Classic Clog - Banana,34.99,34.99,4.5,141
16,Birkenstock Women's Arizona Pink Wool Shearling,Champs Sports,64.99,64.99,4.3,91,Crocs Classic Disney Clog 207755 Black/Multi,60.0,60.0,4.8,156
17,Birkenstock Kids' Arizona Eva Beetroot Purple,Macy's,35.0,35.0,4.3,34,Crocs Pj Masks Classic Clog in Grass Green,40.0,40.0,3.0,1
18,Birkenstock Women's Arizona Birko-Flor Soft Footbed Sandals from Finish Line ...,Macy's,140.0,140.0,0.0,0,Crocs Pj Masks Classic Clog in Grass Green,40.0,40.0,3.0,1
19,Birkenstock Women's Sydney Graceful Taupe Birko-Flor,Famous Footwear,99.99,99.99,4.7,40,Crocs Classic Clog,37.99,37.99,4.7,1413
20,Birkenstock Women's Sydney Graceful Taupe Birko-Flor,Famous Footwear,99.99,99.99,4.7,40,Crocs Classic Clog Margaritaville,59.99,59.99,4.3,144
21,Birkenstock Boston Soft Footbed Suede Taupe,JD Sports,158.0,158.0,4.5,1138,Crocs Classic Clog 10001 Taffy Pink,37.5,37.5,4.6,13555
22,Birkenstock Women's Zermatt Shearling Light Gray / 38,Tillys,99.99,99.99,4.5,391,Crocs Unisex Classic Retro Resort Clog - Bone/Multi,54.99,54.99,4.8,532
23,"Birkenstock Arizona Sandal - Girls' Electric Metallic Gold Birko-Flor, 26.0",Backcountry.com,59.95,59.95,4.5,6087,Adults' Crocs Classic Lined Clogs in Lavender/Lavend Size Men's 8 / Women's 10 Medium,29.98,29.98,4.8,6424
24,Birkenstock Arizona EVA Green,SVD-sivasdescalzo,28.0,28.0,4.5,6459,Crocs Classic Clog K Green,19.25,19.25,4.8,1594
